,playlist_genre,playlist_subgenre,playlist_id,playlist_name,playlist_owner,playlist_description,playlist_numtracks
6mtYuOxzl58vSGnEDtZ9uB,rap,pop rap,6mtYuOxzl58vSGnEDtZ9uB,Pop Hits 2000s – 2023,user,"old but gold, all the best throwback songs to new hits, pop, rnb, edm, rap, workout music and more! :)",288
37i9dQZF1EQncLwOalG3K7,pop,pop,37i9dQZF1EQncLwOalG3K7,Pop Mix,spotify,"<a href=spotify:playlist:37i9dQZF1EIYIe6aZAczQL>Harry Styles</a>, <a href=spotify:playlist:37i9dQZF1EIV5ihzgPnqBl>Olivia Rodrigo</a>, <a href=spotify:playlist:37i9dQZF1EIUKen91DjMgH>Doja Cat</a> and more",50
37i9dQZF1DWUa8ZRTfalHk,pop,pop,37i9dQZF1DWUa8ZRTfalHk,Pop Rising,spotify,Who's now and next in pop. Cover: Dove Cameron,86
5TDtuKDbOhrfW7C58XnriZ,pop,pop,5TDtuKDbOhrfW7C58XnriZ,Pop Hits 2023,user,"Listen here for all of the hottest pop tracks of 2023. Featuring superstar artists such as Taylor Swift, Jung Kook and Olivia Rodrigo. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Pop Music 2023 | Smash Pop Hits | All the Best Pop | Cover: Troye Sivan",50
5mHjseWRbEExCej6J1qsQJ,pop,pop,5mHjseWRbEExCej6J1qsQJ,pop,user,for inquiries pls email: hannah@craftplaylists.com &#x2F; this playlist is for pop artists and pop artists only &#x2F; featuring Dua Lipa,44
37i9dQZF1EIg1p0x6beBBb,pop,pop,37i9dQZF1EIg1p0x6beBBb,Pop Punk Mix,spotify,Pop Punk music picked just for you,50
37i9dQZF1DX0A8zVl7p82B,pop,pop,37i9dQZF1DX0A8zVl7p82B,Christmas Pop,spotify,All the best in new and classic Christmas Pop! Cover: Ariana Grande,90
37i9dQZF1DXadasIcsfbqh,pop,pop,37i9dQZF1DXadasIcsfbqh,Pop Country,spotify,Pop country hits of today and tomorrow. Cover: Kelsea Ballerini,100
37i9dQZF1EIhG5F4iZSTGg,pop,pop,37i9dQZF1EIhG5F4iZSTGg,Pop Upbeat Mix,spotify,Pop Upbeat music picked just for you,50
37i9dQZF1DXaPCIWxzZwR1,pop,pop,37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,spotify,next gen pop Cover: Tate McRae,102
1Cgey68pUlQGsCPI2wJuxr,pop,pop,1Cgey68pUlQGsCPI2wJuxr,Best of 2023 🔥 Most Popular Hits 2023,user,Best 2023 hits. Bringing you the Best Songs and best new 2023 hits : Top Hits 2023 in one playlist weekly updated. Best 2023 Hits and new releases. Global Hits 2023.,200
37i9dQZF1DWSVpJBtEkFud,pop,pop,37i9dQZF1DWSVpJBtEkFud,Pop Road Trip,spotify,Pop favorites from today and yesterday,100
7l4sdtYsHVypensTVz8rb3,pop,pop,7l4sdtYsHVypensTVz8rb3,Popular Christmas Songs ❄️🎄,user,The best playlist full of Christmas Classics! 🎅🏻🎁🎄 ,48
5i6TPyuopfPKAaamnsLskD,pop,pop,5i6TPyuopfPKAaamnsLskD,Pop en Español 90's y 2000's,user,La playlist con los clásicos del pop en español de los 90s y los 2000s que no puedes dejar de cantar. En portada: Shakira.,208
37i9dQZF1DWUPafHP1BJw1,classical,classical,37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,spotify,"Your favorite pop songs, classically reimagined.",111
2gDYqZatA6ZXupLjVKNJF1,pop,pop,2gDYqZatA6ZXupLjVKNJF1,CHRISTMAS POP 2023 🎄,user,"Party favorites for your festive celebrations! Upbeat pop hits from Mariah Carey, Kelly Clarkson, *NSYNC, and Britney Spears - the perfect playlist to keep your Christmas party merry!",229
37i9dQZF1EIXlV79T2jjAv,pop,pop,37i9dQZF1EIXlV79T2jjAv,Pop Smoke Mix,spotify,"<a href=spotify:playlist:37i9dQZF1EIWR2Z7ggXEKn>Drake</a>, <a href=spotify:playlist:37i9dQZF1EIVVfpLEtvSUn>Travis Scott</a> and <a href=spotify:playlist:37i9dQZF1EIXOyFJo000jQ>Jack Harlow</a>",50
37i9dQZF1DXasneILDRM7B,pop,pop,37i9dQZF1DXasneILDRM7B,Pure Pop Punk,spotify,Please stand for your personal anthems. Cover: Paramore,100
37i9dQZF1DXcZDD7cfEKhW,pop,pop,37i9dQZF1DXcZDD7cfEKhW,Pop Remix,spotify,"Remixed pop and <a href=""spotify:genre:edm_dance"">dance</a> collabs. Cover: Tate McRae",75
37i9dQZF1EIgVLlrvYQpZE,pop,pop,37i9dQZF1EIgVLlrvYQpZE,2000s Pop Rock Mix,spotify,2000s Pop Rock music picked just for you,50
72t3yqJQzJrupxWVyBFztJ,pop,pop,72t3yqJQzJrupxWVyBFztJ,Punk Goes Pop Greatest Hits,user,A greatest hits playlist based on the long standing Punk Goes Pop series released by Fearless Records.,142
37i9dQZF1DWSThc8QnzIme,pop,pop,37i9dQZF1DWSThc8QnzIme,Pop Drive,spotify,Breeze through your commute with these pop favorites. Cover: Tate McRae,140
3LsuDV0VEFHDk6sZLVAOsv,pop,pop,3LsuDV0VEFHDk6sZLVAOsv,,user,,67
37i9dQZF1DWXti3N4Wp5xy,edm,pop dance,37i9dQZF1DWXti3N4Wp5xy,Pop Party,spotify,A perfect little pop party. ,150
37i9dQZF1DWZQaaqNMbbXa,edm,pop dance,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,spotify,Hit the dance floor with your favorite bops!,150
2lByMbbXWaILu2cNHIpAWo,pop,dance pop,2lByMbbXWaILu2cNHIpAWo,Dance Pop🔥,user,"A playlist that is all about the high-energy, adrenaline-fueled beats of electronic dance music but with a twist of pop! This playlist features a carefully curated selection of tracks that are guaranteed to get your heart racing.",31
37i9dQZF1EIdt7tQbR8QDN,edm,pop dance,37i9dQZF1EIdt7tQbR8QDN,Dance Pop Mix,spotify,Dance Pop music picked just for you,50
37i9dQZF1DWWOGXILUAh53,edm,pop dance,37i9dQZF1DWWOGXILUAh53,Fresh Dance Pop,spotify,The hottest new pop with all the drops. Cover: Marshmello & Tyla,80
37i9dQZF1EIdy5SWz7dyYc,edm,pop dance,37i9dQZF1EIdy5SWz7dyYc,Dance Pop Upbeat Mix,spotify,Dance Pop Upbeat music picked just for you,50
7p9fxsr6W846buDgcRsfJC,edm,pop dance,7p9fxsr6W846buDgcRsfJC,"2000s, 2010s Dance/Upbeat Pop",user,,185
37i9dQZF1DXcOFePJj4Rgb,edm,pop dance,37i9dQZF1DXcOFePJj4Rgb,Pop Favourites,spotify,The hits you just can't get enough of. Cover: Taylor Swift,100
37i9dQZF1DXahYFr91pFvG,pop,dance pop,37i9dQZF1DXahYFr91pFvG,Dance Pop: Japan,spotify,様々なダンスミュージックを積極的に取り入れた、日本のポップシーンの話題曲をピックアップ。cover: キタニタツヤ,60
37i9dQZF1DX4zhmwjdK3k8,pop,dance pop,37i9dQZF1DX4zhmwjdK3k8,dansk pop,spotify,De bedste danske pop hits lige nu 🌹 Ida Laurberg på forsiden,65
37i9dQZF1EIcGTTk3Djjw3,edm,pop dance,37i9dQZF1EIcGTTk3Djjw3,Pop Dance Mix,spotify,Pop Dance music picked just for you,50
4pJUVkWPs5BbhJLQ8jvnyd,pop,dance pop,4pJUVkWPs5BbhJLQ8jvnyd,Dance/Pop/HipHop Bangers 2000-2023,user,,1032
4o6ejPEzNaJhbUl9u0Vb3X,edm,pop dance,4o6ejPEzNaJhbUl9u0Vb3X,Pop dance music 2000-2023,user,,490
37i9dQZF1EIgiybBTM5LX0,pop,dance pop,37i9dQZF1EIgiybBTM5LX0,Dance Pop Electronic Mix,spotify,Dance Pop Electronic music picked just for you,50
08q9DbgxlY1D6j8I8A0i75,edm,pop dance,08q9DbgxlY1D6j8I8A0i75,Dance Party 2023 🔥,user,"Best dance, house, dance pop, club music hits. Updated Weekly. ",99
02dc8godRXb9bO6gcnEq0I,pop,dance pop,02dc8godRXb9bO6gcnEq0I,DANCE POP 2023,user,"All the best dance hits in one playlist! Including: Summer Dance, Pop Hits, Summer Chill, House Music, Radio Hits, Hottest House Music tracks from Calvin Harris, Alok, David Guetta, Jax Jones, Rita Ora, Kygo, Elton John, Dua Lipa, Tiesto, Bob Sinclair, Meduza + more!",124
37i9dQZF1EIePzo3YPTlym,edm,pop dance,37i9dQZF1EIePzo3YPTlym,Workout Pop Dance Mix,spotify,Workout Pop Dance music picked just for you,50
4QJ8yV7UeRWbYQ3Jd87To1,pop,dance pop,4QJ8yV7UeRWbYQ3Jd87To1,Dance pop jazz,user,,108
775aCQyzYZVB9UaVEonxOs,pop,dance pop,775aCQyzYZVB9UaVEonxOs,Dance Pop Bangers ,user,,396
35DhFdX9ZOP55vF9MRpSou,pop,dance pop,35DhFdX9ZOP55vF9MRpSou,DANCE POP HITS 2023🔥BANGERS ONLY,user,"The best dance pop hits songs music playlist, filled with the best dance tracks. best dance pop hits playlist - best dance pop hits music - best dance pop hits songs - dance pop songs - dance pop playlist - dance pop hits - dance music playlist - dance music songs",150
6OCcZfzvQMRrwSWNzfyPqj,pop,dance pop,6OCcZfzvQMRrwSWNzfyPqj,Dance Pop 2023,user,a mix of your favorite dance pop hits *updated 05&#x2F;17&#x2F;23* submit: birdsallofficial@gmail.com ,66
0xcJQet39hGr3PeJeRaOSQ,pop,dance pop,0xcJQet39hGr3PeJeRaOSQ,Dance Pop Party,user,,87
070oHOdpcUenKekJchA988,pop,dance pop,070oHOdpcUenKekJchA988,"Dance Pop | Joel Corry, David Guetta, Marshmello",user,Updated daily by Gin and Sonic,80
2Sxd5BovYwLgRg6KyZOTer,edm,pop dance,2Sxd5BovYwLgRg6KyZOTer,PARTY 2000 2010 🔥 Nostalgia Pop Top Hits Dance Radio Summer Music Classic Friday Mix,user,,95
37i9dQZF1EIflQqOvuuYH0,pop,alt z,37i9dQZF1EIflQqOvuuYH0,Post-Teen Pop Mix,spotify,Post-Teen Pop music picked just for you,50
37i9dQZF1EIh64NM6OwM8k,country,contemporary country,37i9dQZF1EIh64NM6OwM8k,Alt Z Mix,spotify,Alt Z music picked just for you,50
10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,user,"See also <a href=""spotify:playlist:2A8PnzlUUoJt3QQZQ5KnnZ"">Intro</a>, <a href=""spotify:playlist:2UMnz9RgIFIFVFpwtTzAtt"">Pulse</a>, <a href=""spotify:playlist:2Llai7Jaj4KQRG9BEKO3kD"">Edge</a>, <a href=""spotify:playlist:4LxPfk1JbkeQm7ZjPDe9fz"">♀Filter</a> or <a href=""spotify:playlist:75CQkK0hFrlEGC6y6GtJvC"">2023</a>; or the Sounds of <a href=""spotify:playlist:6gS3HhOiI17QNojjPuPzqc"">Pop</a>, <a href=""spotify:playlist:1lMgl0D1HZVvtq16pB13ew"">Talent Show</a>, <a href=""spotify:playlist:2ZIRxkFuqNPMnlY7vL54uK"">Dance Pop</a>, <a href=""spotify:playlist:0tAsyMQoefUL8DWNn6xkAk"">Viral Pop</a>, <a href=""spotify:playlist:5VnHdgsAhzWNkd29Rv9ErH"">Teen Pop</a>, <a href=""spotify:playlist:70jdWG9sLb0vAWuAXuiDbX"">Swedish Idol Pop</a>, <a href=""spotify:playlist:0vgSCZFzrE0eId4bKI1NNt"">Girl Group</a>, <a href=""spotify:playlist:3T7fgs4KaPs3HUbhHBizyb"">Taiwan Idol Pop</a>, <a href=""spotify:playlist:6Wz5IiVGjSDWQmMlPxHcjg"">Japanese Teen Pop</a> or <a href=""spotify:playlist:5MqoSHN1RNzdKd5T1QCN8S"">Boy Band</a>; or much more at <a href=""http://everynoise.com"">everynoise.com</a>.",221
37i9dQZF1DXcxvFzl58uP7,pop,post-teen pop,37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,spotify,Dreamy melodies and hushed vocals. Cover: Still Woozy ,100
74962idCjiGug4VcWVU4E8,pop,post-teen pop,74962idCjiGug4VcWVU4E8,Post-teen pop,user,,493
612nDZW0Ip1KhZGEL98nkr,pop,post-teen pop,612nDZW0Ip1KhZGEL98nkr,Teenage Angst - Pop Punk and Post Hardcore,user,,421
09QYcCKahnN86OTgN3R0ia,pop,post-teen pop,09QYcCKahnN86OTgN3R0ia,Pop Hits,user,"Pop I Uk Pop I Electro Pop I Tropical House, Pop Dance I Post-teen pop I Pop rap I Edm. For submissions visit vibinrecords.com ",66
2lLdG3zXbtqtqccVLrc2Md,pop,post-teen pop,2lLdG3zXbtqtqccVLrc2Md,Post-teen pop,user,,36
1TWYEY0pj2ISOAAPvTMopy,pop,post-teen pop,1TWYEY0pj2ISOAAPvTMopy,"pop, latin pop y post teen pop",user,,353
3695yWvkgdXtGw6tegbbDz,pop,post-teen pop,3695yWvkgdXtGw6tegbbDz,🍭 Post-Teen-Pop 🍭,user,,89
0xiMB1M6laAUfHUiBb6ebn,pop,post-teen pop,0xiMB1M6laAUfHUiBb6ebn,post-teen pop ,user,for all (most of them) the songs i have ever listened to&#x2F; liked  – essentially a song dump ,460
4ch6z2Hi0212lMppyaoQyw,pop,post-teen pop,4ch6z2Hi0212lMppyaoQyw,pop,user,"pop, dance pop, electropop, pop rap, post-teen pop",207
0TDOT18PNqRuOWUaqcT2bI,pop,post-teen pop,0TDOT18PNqRuOWUaqcT2bI,2000s Post Teen Pop,user,,32
7mlCUuhgPXsk75qx04BoQF,pop,post-teen pop,7mlCUuhgPXsk75qx04BoQF,Jammin' with the boys,user,"white girl pop, post-teen pop and rap 💅",223
7piC7i9gH0DPfHaVkO5kPm,pop,post-teen pop,7piC7i9gH0DPfHaVkO5kPm,girly pop,user,Pop w najlepszej postaci! Teen pop | Pop party | Pink Party | Top Pop | Gen Z | Pop Right Now | Okładka: Bella Poarch,100
4rebzQDFjMZSIGEy28WqLN,pop,post-teen pop,4rebzQDFjMZSIGEy28WqLN,Post Teen Pop,user,,101
0EjLDNTh3T8L3kr8jQXS8O,pop,post-teen pop,0EjLDNTh3T8L3kr8jQXS8O,teen angst post-punk so I stop listening to jazz,user,"Rage, loops, popping, breakdance, horror music",50
3vASflKeeY0H5yftjWtpYM,pop,post-teen pop,3vASflKeeY0H5yftjWtpYM,Post teen pop,user,,66
09gM1Xn6yywpiR1lVsXkVm,pop,post-teen pop,09gM1Xn6yywpiR1lVsXkVm,You know the fuckin Vibes,user,#vibes #electropop #bedroompop #edm #indie #tropical #pop #tropical #alternative #R&amp;B #chill #soul #post-teen #comtemporary #poprap #discohouse #techno #progressive #dance,262
4kyuQNrqOvN1UfUxXVLMb7,pop,post-teen pop,4kyuQNrqOvN1UfUxXVLMb7,Post-Teen/Pre-Teen Pop,user,,207
3K25LYNxF3kU95ArUaQ3wk,pop,post-teen pop,3K25LYNxF3kU95ArUaQ3wk,TAPE IV,user,"Shoegaze, alternative&#x2F;indie, surf rock, bedroom pop &amp; lo-fi dream pop. With a teeny bit of post-punk&#x2F;new wave stuff thrown in for good measure.",139
3IdDjr6DGMU0qqsJsd38mf,pop,post-teen pop,3IdDjr6DGMU0qqsJsd38mf,Post-Teen Pop,user,,172
7jmXyRJGJeMmQEW81CqC7v,pop,post-teen pop,7jmXyRJGJeMmQEW81CqC7v,post teen pop ,user,"MARINA,Melanie Martinez,Lana Del Rey,Madison Beer,Olivia Rodrigo,Lorde,Tate McRae,Conan Gray,Troye Sivan,The Neighbourhood,Arctic Monkeys,Ashe,Taylor Swift,Halsey,Ricky Montgomery,Cavetown, a Mitski,Charli XCX,Johnny Orlando",1063
33miL96SvfAnQl6kfVdjYm,pop,post-teen pop,33miL96SvfAnQl6kfVdjYm,Harley Quinn,user,Pop | Dance Pop | Electropop | Post-Teen Pop | Art Pop,69
37i9dQZF1DX17dmzi8A5FV,pop,boy band,37i9dQZF1DX17dmzi8A5FV,Ultimate Boybands,spotify,All the biggest hits from the biggest boybands!  Cover: *NSYNC,75
6S2ySWhpD2Oah3etWAjAd9,pop,boy band,6S2ySWhpD2Oah3etWAjAd9,Boy Bands & Pop 90s 00s,user,Boy Bands throwback playlist with the best hits! 80s | 90s and early 2000s.,45
2UzHUkuI4UhFYT7lnw8UDa,pop,boy band,2UzHUkuI4UhFYT7lnw8UDa,Boy Bands 80's 90's 2000's,user,Boys 2 Men nsync back streetboys 98 degrees savage garden all for one new kids on the block,37
37i9dQZF1DWYpQB9BMWbvV,pop,boy band,37i9dQZF1DWYpQB9BMWbvV,Girlband V Boyband,spotify,The ultimate throwback battle!,50
7c4prOP59aLCQAE5Jam2vr,pop,boy band,7c4prOP59aLCQAE5Jam2vr,BEST BOY BAND SONGS,user,,40
3d4bQf2X5IRXx9ZoUu6fkQ,pop,boy band,3d4bQf2X5IRXx9ZoUu6fkQ,Boy Bands (2010s),user,,72
37i9dQZF1DZ06evO2yhC8x,pop,boy band,37i9dQZF1DZ06evO2yhC8x,This Is Boy Named Banjo,spotify,"This is Boy Named Banjo. The essential tracks, all in one playlist.",34
3LPj3ozAO8UmTwIxIoBWT2,pop,boy band,3LPj3ozAO8UmTwIxIoBWT2,Boybands of the 2000's to 2010's,user,"The Best of One Direction, The Vamps, 5 Seconds of Summer etc.",101
0raHCbWMXfKLgxnDAiY7pR,pop,boy band,0raHCbWMXfKLgxnDAiY7pR, Boy Bands & Girl Groups - 90s,user,,76
37i9dQZF1DZ06evO2P9Vej,pop,boy band,37i9dQZF1DZ06evO2P9Vej,This Is boyband,spotify,"This is boyband. The essential tracks, all in one playlist.",47
1pEs1l5n9JrB2yYHKfdL4H,pop,boy band,1pEs1l5n9JrB2yYHKfdL4H,90's/Boy Bands/90's and Early 00's Pop,user,,118
1NLaq3kRblQvUy2mf0bBon,pop,boy band,1NLaq3kRblQvUy2mf0bBon,Boy Band Christmas Songs,user,,12
37i9dQZF1DZ06evO2dmfom,pop,boy band,37i9dQZF1DZ06evO2dmfom,This Is Boyband,spotify,"This is Boyband. The essential tracks, all in one playlist.",32
3HTf1LklVNeBkvsYCJJUYw,pop,boy band,3HTf1LklVNeBkvsYCJJUYw,90s Boybands Greatest Hits Compilation (90s Boy Groups Hits),user,,93
5JNtyCC3yLFdgmZW60UEUM,pop,boy band,5JNtyCC3yLFdgmZW60UEUM,Boy Band anni 90 e 2000,user,,63
37i9dQZF1EFAuBtSUsToLN,pop,boy band,37i9dQZF1EFAuBtSUsToLN,Written By boyband,spotify,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wsStAIe9IBbu4KErVIRIw"">boyband</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",39
59lD717Pxk08E7WvGe87KF,pop,boy band,59lD717Pxk08E7WvGe87KF,90s Boy Band Christmas,user,"Christmas albums and songs from Nsync, 98 Degrees, Backsteet Boys (finally!) as well as Hanson, Boyz II Men and a couple from Straight No Chaser. ",91
3BwfS3XLRFAMew6MvnJ7cz,pop,boy band,3BwfS3XLRFAMew6MvnJ7cz,BOY BANDS Best Love Songs,user,,41
37i9dQZF1DZ06evO0e7As2,pop,boy band,37i9dQZF1DZ06evO0e7As2,This Is Boy Game,spotify,"This is Boy Game. The essential tracks, all in one playlist.",34
4gCrVeSnrSpGd1hKPtWqo1,pop,boy band,4gCrVeSnrSpGd1hKPtWqo1,"Boy Bands, Girl Groups & One-Hit-Wonders of the 90s & Early 2000s",user,Don&#x27;t even front--you know all the words.,59
37i9dQZF1DZ06evO3k2TOU,pop,boy band,37i9dQZF1DZ06evO3k2TOU,This Is 1600 Boy B'A,spotify,"This is 1600 Boy B'A. The essential tracks, all in one playlist.",50
0PkHyQVfybWEZLSXIGl0uQ,pop,boy band,0PkHyQVfybWEZLSXIGl0uQ,Boy bands 2010 hits🔥👨‍🎤,user,All your teen memories will come back🤙 ,68
37i9dQZF1DZ06evO4ckXuP,pop,boy band,37i9dQZF1DZ06evO4ckXuP,This Is Mcco BoyBad,spotify,"This is Mcco BoyBad. The essential tracks, all in one playlist.",20
472P42OuxmO1yWyZrpWJ29,pop,boy band,472P42OuxmO1yWyZrpWJ29,"BOY BAND 90""s  PLAYLIST",user,"WESTLIFE, BACKSTREET BOYS, BOY ZONE, THE MOFFATS, BLUE, GARETH GATES, A1 ,  NSYNC, 98 DEGREE,",66
37i9dQZF1EIg6HbQhRGkPb,pop,uk pop,37i9dQZF1EIg6HbQhRGkPb,UK Pop Mix,spotify,UK Pop music picked just for you,50
37i9dQZF1DX942d1NzGgzk,r&b,uk contemporary r&b,37i9dQZF1DX942d1NzGgzk,R&B UK,spotify,100% British - 100% R&B. Cover: Essosa ,60
37i9dQZF1EIgLOlCj13ZvQ,pop,uk pop,37i9dQZF1EIgLOlCj13ZvQ,British Pop Mix,spotify,British Pop music picked just for you,50
11JI1j2BRMcrkiVyHxBfFh,pop,uk pop,11JI1j2BRMcrkiVyHxBfFh,90s to 00s UK Pop,user,A look back at some classic pop hits that came out of the UK in the 90s and early 2000s,35
37i9dQZF1DZ06evO17tUUG,pop,uk pop,37i9dQZF1DZ06evO17tUUG,This Is UK,spotify,"This is UK. The essential tracks, all in one playlist.",50
37i9dQZF1DWY4lFlS4Pnso,pop,uk pop,37i9dQZF1DWY4lFlS4Pnso,Hot Hits UK,spotify,The UK's biggest playlist. Cover: David Guetta & Zara Larsson,70
5skGwoI3lJlVwbFlFn97Kv,pop,uk pop,5skGwoI3lJlVwbFlFn97Kv,EDM - US - UK - POP,user,,41
4j5retI1lzztUxUCrPVBjC,pop,uk pop,4j5retI1lzztUxUCrPVBjC,BRITISH POP CLASSICS,user,"music from notorious, renowned UK artists to make ya feel patriotic&amp;#x27;",431
6TsMfcuDBmSaQwwKXsWazn,pop,uk pop,6TsMfcuDBmSaQwwKXsWazn,70s & 80s UK Pop & New Wave,user,,182
75nlDtvcoKPEX6Wq3jPXtG,pop,uk pop,75nlDtvcoKPEX6Wq3jPXtG,90s and 00s UK Pop Bangerz,user,,96
37i9dQZF1DWXWBMhgr0bkX,pop,uk pop,37i9dQZF1DWXWBMhgr0bkX,New Pop UK,spotify,"Your future favourite pop stars, fresh for the UK. Cover: Henry Moodie",100
2l0EEMSwOZUBxtI6AcWCAB,pop,uk pop,2l0EEMSwOZUBxtI6AcWCAB,UK Top 100 🔥 Charts 2023 🔥 Hot Hits 2023 🔥 Top 100 Songs 🔥 UK Pop Chart 🔥 10th November 2023 🔥 ,user,2023 Biggest Songs 🔥 Top Hits this year 🔥 Top Charts UK 🔥 2023 best Pop 🔥 1st December 🔥 Ireland Top 100 🔥 IE Hot 100 🔥 Party Mix 2023 🔥Pop Hits 🔥 Top 40 Top 50 Top 100 🔥 2023 Top Songs,100
37i9dQZEVXbLnolsZ8PSNw,pop,uk pop,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,spotify,Your daily update of the most played tracks right now - United Kingdom.,50
37i9dQZF1EIcxnpiG3yrJV,pop,uk pop,37i9dQZF1EIcxnpiG3yrJV,2000s UK Pop Mix,spotify,2000s UK Pop music picked just for you,50
3hqjnDnl4freTbDpvrOdPO,pop,uk pop,3hqjnDnl4freTbDpvrOdPO,Early 2000s UK Pop Hits,user,The best songs of the early 2000s,1056
5S0O9zVv2eIc0BshkjO2w1,pop,uk pop,5S0O9zVv2eIc0BshkjO2w1,2010s UK Pop,user,,100
6dDUY86L9NLYE68HZ4DEEC,pop,uk pop,6dDUY86L9NLYE68HZ4DEEC,Throwbacks UK Pop Indie 90s 00s,user,,144
37i9dQZF1DWSIaDfaHJHox,pop,uk pop,37i9dQZF1DWSIaDfaHJHox,Best of British,spotify,"All great, all British.",250
37i9dQZF1DWSrVdvTl1tVY,edm,dutch house,37i9dQZF1DWSrVdvTl1tVY,UK House Music,spotify,"The biggest house bangers popping off in the UK, let's go! LF SYSTEM, Paul Woolford, Shayan",110
4mJMqp1j0OETbBRJl5E6hN,pop,uk pop,4mJMqp1j0OETbBRJl5E6hN,UK Pop Punk,user,Artists exclusively from the UKs thriving pop punk scene! Follow and support your local bands! Cover - Neck Deep,140
652TD735fW0JesE9VgHhzS,pop,uk pop,652TD735fW0JesE9VgHhzS, Best UK Drill of All Time,user,Find our playlist with these keywords: best uk drill songs - uk drill hits - top uk drill - uk drill essentials - all time uk drill - popular uk drill - iconic uk drill songs - favorite uk drill - uk drill playlist - drill music uk - timeless uk drill hits - british uk drill - united kingdom drill,100
37i9dQZF1EIeolVzIxCaau,pop,uk pop,37i9dQZF1EIeolVzIxCaau,UK Hip Hop Mix,spotify,UK Hip Hop music picked just for you,50
2ZnhGIj3hvC5Myfp6wLewB,pop,uk pop,2ZnhGIj3hvC5Myfp6wLewB,UK DRILL 2023 🥵🔥🐍 British Rap Drill Music,user,"Most popular drillers coldest rap only latest gym workout playlist hardest elite english irish drills finest  <a href=""https://open.spotify.com/user/dor7cmlu5cn1dki1iqagc2ba6?si=paxTURWTSd285GygZiD5Rg"">More Chill Playlists</a>",627
7GrmUXeZqsUz1eKCRG6WiM,pop,uk pop,7GrmUXeZqsUz1eKCRG6WiM,UK Top Pop 2023,user,,50
2syrA0PSEWJblD8467YdCC,pop,alt z,2syrA0PSEWJblD8467YdCC,Best of Alt Z,user,"The most popular Alt Z songs on Spotify • Featuring Sasha Alex Sloan, Tate McRae, JP Saxe, Jeremy Zucker, Sam Tinnesz, Ryan Mack, Alexander 23, Clinton Kane, Ruth B., Lauren Spencer Smith, Ashe, mxmtoon, Lizzy McAlpine, Ashnikko, Gracie Abrams, Rosa Linn, EMELINE &amp; Astrid S • By volt.fm",99
6TySxsLwRVYqEh7LZ6fyq8,pop,alt z,6TySxsLwRVYqEh7LZ6fyq8,The Sound of Alt Z,user,"See also <a href=""spotify:playlist:4EkOpemfjhLHQCm4bAFtUr"">Intro</a>, <a href=""spotify:playlist:0WgdQ8TuQ1t0BLKnjwsnfe"">Pulse</a>, <a href=""spotify:playlist:1ZbuG9ndTriQ6GfhcMtRai"">Edge</a>, <a href=""spotify:playlist:32HTUJJOKPqtdIcCVWOZof"">♀Filter</a> or <a href=""spotify:playlist:72wJnYg8hC4paIuaoD8kTP"">2023</a>; or the Sounds of <a href=""spotify:playlist:5pzJVmW37XGUFynM2TQ0oO"">Singer-Songwriter Pop</a>, <a href=""spotify:playlist:5nUyv9wyZKjdUW1rk3smTo"">Gen Z Singer-Songwriter</a>, <a href=""spotify:playlist:0OGpuF8rnCzlcjJLsdywny"">UK Pop</a>, <a href=""spotify:playlist:0FkLYgMF09lmzytexAraKv"">Modern Indie Pop</a>, <a href=""spotify:playlist:6gS3HhOiI17QNojjPuPzqc"">Pop</a>, <a href=""spotify:playlist:7nHgmv7uyIA1KHj6qTttjH"">Indie Poptimism</a>, <a href=""spotify:playlist:1BYospE2cLB28m3i84dcTV"">Electropop</a>, <a href=""spotify:playlist:2QYND559WzeB2urcTaOG0j"">Dark Pop</a>, <a href=""spotify:playlist:1aYiM4zLmBuFq0Fg6NQb6a"">Indie Pop</a> or <a href=""spotify:playlist:7JHxvhw9XPNKqtCt70xnAf"">Desi Pop</a>; or much more at <a href=""http://everynoise.com"">everynoise.com</a>.",496
4Ix5AwyjQIug1qdKySyJoG,pop,alt z,4Ix5AwyjQIug1qdKySyJoG,CTRL Alt Z,user,"Seeing you tonight, is a bad idea right? 👸 Featured: Olivia Rodrigo, Leah Kate, NERIAH, GAYLE, JESSIA, Charlotte Sands and more! &#x2F;&#x2F; alt z, TikTok Alt Z, Trending Alt Z, New Olivia Rodrigo, New Alt Z, Popular Alt Z, Olivia Rodrigo TikTok",30
37i9dQZF1EIdnQSaqyLxUn,rock,permanent wave,37i9dQZF1EIdnQSaqyLxUn,Bubblegrunge Mix,spotify,Bubblegrunge music picked just for you,50
